frame_indices,x_coords,y_coords,contrasts,masses_kDa,fit_errors,frame_signal_scores,neareast_neighbour_distances,selections
3.700000000000000000e+01,1.021828339893837949e+02,2.720510536159314796e+01,-4.761460265406222518e-03,1.306858720143058576e+02,1.269242332068476475e-01,0.000000000000000000e+00,1.813354915466940298e+01,1.000000000000000000e+00
3.900000000000000000e+01,1.201877478042888612e+02,1.131353765353101792e+01,-4.766663754148723481e-03,1.308341527746205486e+02,1.239833825006554369e-01,0.000000000000000000e+00,2.401497128255793712e+01,1.000000000000000000e+00
3.800000000000000000e+01,7.569025165799830290e+01,1.374766992058317783e+01,-3.239705184177341189e-03,8.732131188480595085e+01,2.660548665712220151e-01,0.000000000000000000e+00,5.085117968628542151e+00,1.000000000000000000e+00
3.900000000000000000e+01,8.414176742319627067e+01,2.537602851815488592e+01,-3.441301331826168881e-03,9.306607881506222668e+01,2.096061367121651031e-01,0.000000000000000000e+00,1.437521625587280205e+01,1.000000000000000000e+00
3.900000000000000000e+01,4.333369735580045301e+01,7.523601411371864778e+00,-3.453124107957234422e-03,9.340298551756470147e+01,2.290664551764675094e-01,0.000000000000000000e+00,1.038789887426409386e+01,1.000000000000000000e+00
4.000000000000000000e+01,7.826527714609225939e+01,8.316958078735636306e+00,-3.492187563157991489e-03,9.451615384065077308e+01,2.790872105837334249e-01,0.000000000000000000e+00,6.010273485750597722e+00,1.000000000000000000e+00
4.300000000000000000e+01,7.204696642778506543e+01,1.729518982696551532e+01,-3.485541815436022511e-03,9.432677387389416879e+01,1.683991978786031352e-01,0.000000000000000000e+00,5.085117968628542151e+00,1.000000000000000000e+00
4.300000000000000000e+01,6.841698871873160215e+01,6.214550538159217652e+00,-3.927574240277322860e-03,1.069231120775030064e+02,2.688867099530682925e-01,0.000000000000000000e+00,1.007019872768946023e+01,1.000000000000000000e+00
4.600000000000000000e+01,8.254722945403794654e+01,6.563449347293933478e+00,-3.106443136931417125e-03,8.352382164997166569e+01,2.778665552486889734e-01,0.000000000000000000e+00,1.381285402111875804e+01,1.000000000000000000e+00
4.500000000000000000e+01,4.103007556273387735e+01,1.117725411421859327e+01,-3.733420351943936115e-03,1.013904228367282343e+02,1.904261507076784321e-01,0.000000000000000000e+00,1.247987322316697956e+01,1.000000000000000000e+00
4.500000000000000000e+01,8.618595999402128882e+01,1.988840999512059682e+01,-3.263208664429941702e-03,8.799107674725894412e+01,1.972283178192109077e-01,0.000000000000000000e+00,1.381285402111875804e+01,1.000000000000000000e+00
4.700000000000000000e+01,5.297886723272119980e+01,7.575363875252147494e+00,-3.258544153588235816e-03,8.785815492339587252e+01,2.250577231165095116e-01,0.000000000000000000e+00,1.247987322316697956e+01,1.000000000000000000e+00
4.700000000000000000e+01,7.247205049772018981e+01,2.660986405282524103e+01,-3.118978433111069259e-03,8.388103261751096795e+01,2.304253583931600291e-01,0.000000000000000000e+00,9.324368740049274962e+00,1.000000000000000000e+00
4.800000000000000000e+01,1.096453418448097636e+02,2.717651154042024331e+01,-3.063523179125728860e-03,8.230075683883441684e+01,2.538689586869615766e-01,0.000000000000000000e+00,2.456540292679325788e+01,1.000000000000000000e+00
5.100000000000000000e+01,1.885984727046309217e+01,1.649807168146654135e+01,-4.317173410575707651e-03,1.180252906443485443e+02,1.491491586507283085e-01,0.000000000000000000e+00,1.892059937820360460e+01,1.000000000000000000e+00
5.000000000000000000e+01,5.837026831436678265e+01,2.402059142269027348e+01,-3.819261843431580664e-03,1.038365973658225414e+02,2.897232584805345956e-01,0.000000000000000000e+00,5.770151884954147548e+00,1.000000000000000000e+00
5.100000000000000000e+01,8.639506180776317024e+01,2.595962218083645823e+01,-4.636169408422850975e-03,1.271155321032707235e+02,2.250518656719568966e-01,0.000000000000000000e+00,1.590135730197128971e+01,1.000000000000000000e+00
5.100000000000000000e+01,6.281773204805507049e+01,7.883016331826059542e+00,-2.017390748190701216e-03,5.248973582481703204e+01,4.127718519575409584e-01,0.000000000000000000e+00,9.342793157216341626e+00,1.000000000000000000e+00
5.200000000000000000e+01,1.043497602293363684e+02,1.231831763434977844e+01,-3.170806091877356823e-03,8.535793494737008302e+01,3.469813004927625455e-01,0.000000000000000000e+00,6.573535784260009507e+00,1.000000000000000000e+00
