frame_indices,x_coords,y_coords,contrasts,masses_kDa,fit_errors,diffblur_errors,frame_signal_scores,neareast_neighbour_distances,selections
3.100000000000000000e+01,8.323161390692003181e+01,1.921909038509723544e+01,-5.280779960902892180e-03,1.682162547962965107e+02,1.079281038540202964e-01,2.000733566284179688e+01,0.000000000000000000e+00,8.260951193114831170e+00,1.000000000000000000e+00
3.200000000000000000e+01,1.171883761316399415e+02,2.121659378416502406e+01,-2.808001162827845031e-03,8.907260885865076716e+01,1.753195610708596641e-01,1.891407775878906250e+01,0.000000000000000000e+00,1.062146393689439172e+01,1.000000000000000000e+00
3.300000000000000000e+01,5.476130557549474531e+01,1.546308489216432669e+01,-3.059069657418764156e-03,9.710829569706500308e+01,2.283843581864033467e-01,2.096641159057617188e+01,0.000000000000000000e+00,4.703600841163919632e+00,1.000000000000000000e+00
3.200000000000000000e+01,1.214777150696444323e+02,5.615572288612828089e+00,-3.379466080018958714e-03,1.073628890515930010e+02,2.023413988676672215e-01,1.833927536010742188e+01,0.000000000000000000e+00,1.319073589835813110e+01,1.000000000000000000e+00
3.300000000000000000e+01,1.678039406342961470e+01,1.316446997387714468e+01,-2.401591673541681859e-03,7.606508519709140614e+01,4.032431514654546412e-01,1.924361228942871094e+01,0.000000000000000000e+00,5.365455342647189596e+00,1.000000000000000000e+00
3.400000000000000000e+01,9.851697212587922081e+01,1.321609193726931686e+01,-2.421967200246622799e-03,7.671722337968347460e+01,3.203683637903718129e-01,2.100746726989746094e+01,0.000000000000000000e+00,6.974361658918878604e+00,1.000000000000000000e+00
3.300000000000000000e+01,1.027282692179259698e+02,3.086141409647952472e+01,-1.863402281519777222e-03,5.883981995187971137e+01,4.661006104755341939e-01,1.962268829345703125e+01,0.000000000000000000e+00,1.449793774770767385e+01,1.000000000000000000e+00
3.500000000000000000e+01,1.435704079028179478e+02,2.949649334349128793e+01,-3.081664110149995913e-03,9.783145272530688885e+01,1.997140008989679583e-01,1.910293388366699219e+01,0.000000000000000000e+00,1.574822656598800030e+01,1.000000000000000000e+00
3.700000000000000000e+01,1.335245694115222079e+02,1.736851869887353317e+01,-2.882169513137294772e-03,9.144643771113037189e+01,2.273623154634083487e-01,1.692865180969238281e+01,0.000000000000000000e+00,1.574822656598800030e+01,1.000000000000000000e+00
3.800000000000000000e+01,9.974725043991593765e+00,1.255756549715461290e+01,-2.289818295126045886e-03,7.248767152245623890e+01,3.479756752149841814e-01,1.962569808959960938e+01,0.000000000000000000e+00,5.036312378470384488e+00,1.000000000000000000e+00
4.000000000000000000e+01,5.092111218316076560e+01,3.016112881312814054e+01,-2.793165361387570707e-03,8.859777487135505680e+01,1.864464117665720622e-01,2.178337669372558594e+01,0.000000000000000000e+00,3.567917503601324647e+00,1.000000000000000000e+00
4.100000000000000000e+01,1.501018357208428000e+01,1.265030052501711744e+01,-2.623804190268010095e-03,8.317720891814246897e+01,2.341734528853970376e-01,1.941823387145996094e+01,0.000000000000000000e+00,5.036312378470384488e+00,1.000000000000000000e+00
4.300000000000000000e+01,3.559365140416673512e+01,1.031747849382565185e+01,-2.467862274447266482e-03,7.818613904073869492e+01,2.168705368890377905e-01,1.988687324523925781e+01,0.000000000000000000e+00,1.302813090960064635e+01,1.000000000000000000e+00
4.300000000000000000e+01,1.090814485051253939e+02,2.664369470874373391e+01,-2.461802369970422701e-03,7.799218601319549293e+01,2.520349899288903961e-01,2.096397209167480469e+01,0.000000000000000000e+00,9.121910785657481924e+00,1.000000000000000000e+00
4.500000000000000000e+01,1.212376281636620803e+02,2.162908045290441450e+01,-2.314940278187769401e-03,7.329172457169636345e+01,3.037507912002441746e-01,2.186962318420410156e+01,0.000000000000000000e+00,1.314986920183953778e+01,1.000000000000000000e+00
4.500000000000000000e+01,1.000342447403504877e+02,2.780875282752453614e+01,-2.106488806121837361e-03,6.662003622124225899e+01,3.129063265206292188e-01,1.988706207275390625e+01,0.000000000000000000e+00,5.634973059022803987e+00,1.000000000000000000e+00
4.500000000000000000e+01,5.555178814227993911e+01,5.709022784500429104e+00,-1.948658698609082723e-03,6.156853296627505046e+01,4.115619942298791578e-01,1.706313133239746094e+01,0.000000000000000000e+00,1.298979154881670262e+01,1.000000000000000000e+00
4.500000000000000000e+01,1.341148177162572885e+01,2.190086915066196482e+01,-2.577412993449504797e-03,8.169241437910582704e+01,3.184224576709033805e-01,1.674501419067382812e+01,0.000000000000000000e+00,9.387697659413314355e+00,1.000000000000000000e+00
