frame_indices,x_coords,y_coords,contrasts,masses_kDa,fit_errors,diffblur_errors,frame_signal_scores,neareast_neighbour_distances,selections
1.600000000000000000e+01,3.657032007293589260e+01,2.770755240726017377e+01,-2.924099782619085739e-03,9.278845601237117080e+01,2.043648523165539910e-01,2.000160408020019531e+01,0.000000000000000000e+00,4.532760752231967949e+00,1.000000000000000000e+00
1.700000000000000000e+01,1.122659213589861480e+02,2.725721865848353431e+01,-2.613247356809638659e-03,8.283932738579414945e+01,2.337019685218425513e-01,2.194692420959472656e+01,0.000000000000000000e+00,1.264437098282774841e+01,1.000000000000000000e+00
1.600000000000000000e+01,1.182212688672491367e+02,9.130794329220334404e+00,-3.540943583303494437e-03,1.125311306900262309e+02,1.224179345188679546e-01,1.991646957397460938e+01,0.000000000000000000e+00,9.673998562542132973e+00,1.000000000000000000e+00
1.800000000000000000e+01,1.233105689431350527e+01,7.277368067934376406e+00,-1.961914116850982815e-03,6.199278528067900140e+01,3.382560546916695277e-01,2.206624603271484375e+01,0.000000000000000000e+00,4.594059291747402796e+00,1.000000000000000000e+00
1.800000000000000000e+01,5.369053435675921548e+01,1.318668054937885081e+01,-2.195603689173009857e-03,6.947224312202411056e+01,2.680698533221673729e-01,2.394157409667968750e+01,0.000000000000000000e+00,5.054829784864747211e+00,1.000000000000000000e+00
1.900000000000000000e+01,1.273382963979037754e+02,2.788249879093926253e+01,-3.522264350263418740e-03,1.119332840054536575e+02,1.345855746635180594e-01,1.933303070068359375e+01,0.000000000000000000e+00,1.265233174483532252e+01,1.000000000000000000e+00
1.900000000000000000e+01,2.226544794848769016e+01,7.467509056526512978e+00,-1.843359490538368749e-03,5.819833129374755032e+01,2.418777936258804662e-01,2.812112045288085938e+01,0.000000000000000000e+00,7.401923373559072594e+00,1.000000000000000000e+00
2.000000000000000000e+01,1.400758066751000683e+02,2.649254904030050994e+01,-2.786723062430231622e-03,8.839158294343128830e+01,4.176189126208713631e-01,1.627798843383789062e+01,0.000000000000000000e+00,3.828859896121813655e+00,1.000000000000000000e+00
2.100000000000000000e+01,1.413505999106483841e+02,1.255895471313892031e+01,-3.036329588796842817e-03,9.638047809323722959e+01,1.170553037336886648e-01,2.149536705017089844e+01,0.000000000000000000e+00,9.440762977715902338e+00,1.000000000000000000e+00
2.000000000000000000e+01,8.936369878341619710e+01,1.691038793552266739e+01,-2.705052832791952043e-03,8.577764928176696912e+01,2.688122269427156708e-01,1.844963264465332031e+01,0.000000000000000000e+00,6.352141149238742734e+00,1.000000000000000000e+00
2.100000000000000000e+01,3.276897298543434545e+01,3.017649557333711385e+01,3.267210641920231372e-03,-1.037700465966281627e+02,1.655998517154113614e-01,2.171268272399902344e+01,0.000000000000000000e+00,4.532760752231967949e+00,1.000000000000000000e+00
2.100000000000000000e+01,7.785326560777791371e+01,2.573672891008555652e+01,-3.279153453448337835e-03,1.041522876801477508e+02,2.485582891930245841e-01,1.684437942504882812e+01,0.000000000000000000e+00,8.703044485651776796e+00,1.000000000000000000e+00
2.300000000000000000e+01,5.376478440470683040e+01,8.132396120863221611e+00,3.258925817982677442e-03,-1.035048828978452633e+02,3.481011106387799092e-01,1.637156867980957031e+01,0.000000000000000000e+00,5.054829784864747211e+00,0.000000000000000000e+00
2.500000000000000000e+01,2.049977014543359743e+01,1.308401581994385232e+01,-3.042781507360030335e-03,9.658697790582901632e+01,1.753951555103555604e-01,2.220629692077636719e+01,0.000000000000000000e+00,5.500836827542149088e+00,0.000000000000000000e+00
2.400000000000000000e+01,1.320507767762655931e+02,1.418416093716400361e+01,-2.768168819470325902e-03,8.779773668568961398e+01,1.944753463989304931e-01,2.009149169921875000e+01,0.000000000000000000e+00,9.440762977715902338e+00,0.000000000000000000e+00
2.400000000000000000e+01,9.602957114631971081e+01,2.956497475416705356e+01,-3.801038264813442081e-03,1.208557092571477369e+02,1.009204449901994760e-01,1.972281646728515625e+01,0.000000000000000000e+00,1.148739396945281044e+01,0.000000000000000000e+00
2.500000000000000000e+01,7.752751188023628970e+01,1.703978301924395922e+01,-3.718349674536665806e-03,1.182091819911251207e+02,1.376765293249028188e-01,1.943395233154296875e+01,0.000000000000000000e+00,8.703044485651776796e+00,0.000000000000000000e+00
2.500000000000000000e+01,9.568778356573743338e+01,1.750675095069468057e+01,-3.455237664079012158e-03,1.097880309307015239e+02,1.573753997791270676e-01,2.041793060302734375e+01,0.000000000000000000e+00,6.352141149238742734e+00,0.000000000000000000e+00
